,FIELDID,Year,Common_Name,Quanity,COMID
498,main21,1995,creek_chub,102,10849770
499,low14,1995,mottled_sculpin,58,10850162
500,fi-1,1995,white_sucker,37,10850390
501,dixavebrigde,1995,central_mudminnow,1,10850388
502,mn-10dnr,1995,johnny_darter,2,10849770
503,lower1,1995,central_stoneroller,5,10849762
504,lower3,1995,pumpkinseed,13,10849790
505,lower4,1995,green_sunfish,9,10849794
506,l-1,1995,largemouth_bass,3,10849774
507,dnr13,1995,common_shiner,4,10849778
508,dnr3,1995,bluntnose_minnow,9,10850156
509,dnr4,1995,blacknose_dace,6,10850156
510,middle1,1995,bluegill,1,10849670
511,md-6,1995,common_carp,3,10849648
512,newburglake,1995,creek_chub,24,10850234
513,wilcoxlake,1995,green_sunfish,1,10850224
514,phoenixlake,1995,white_sucker,6,10850222
515,middle4,1995,creek_chub,11,10849642
516,middle7,1995,fathead_minnow,46,10850304
517,johnson14,1995,green_sunfish,6,10850134
518,md-14,1986,pumpkinseed,4,10849630
519,md-2,1995,largemouth_bass,131,10849464
520,bishopcr9,1995,green_sunfish,3,10849434
521,bishopcr10,1995,creek_chub,161,10849424
522,md-13,1995,mottled_sculpin,132,10849426
523,md-1,1995,common_shiner,29,10849382
524,u-4,1995,blacknose_dace,52,10849608
525,u-7,1995,white_sucker,30,10849532
526,dnr2,1995,green_sunfish,28,10849618
527,upper1,1995,fathead_minnow,5,10849602
528,upper3,1995,black_bullhead,1,10849602
529,upper4,1995,largemouth_bass,2,10849602
530,upper5,1995,redside_dace,7,10849374
531,dnr1,1995,central_stoneroller,2,10849462
532,mn-3dnr,1995,rainbow_trout,1,10849438
533,upper6,1995,central_mudminnow,1,10849378
534,dnr10,1995,northern_hog_sucker,6,10848526
535,dnr9,1995,johnny_darter,1,10848522
536,franklin11,1995,brook_lamprey,2,10850302
537,mn-2dnr,1995,blacknose_dace,8,10848602
538,mn-7dnr,1995,mottled_sculpin,41,10848448
539,main7dnr,1995,redside_dace,13,10848448
540,main9dnr,1995,white_sucker,6,10848472
541,thorton12,1995,creek_chub,27,10849466
542,tonquishcreek17,1995,green_sunfish,12,10849668
543,tonquishcreek19,1995,largemouth_bass,1,10849684
544,tonquishcreek20,1995,black_bullhead,2,10850148
545,lower9,1995,central_mudminnow,8,10849736
546,lower10,1995,common_carp,3,10849708
547,lower11,1995,white_sucker,2,10849702
548,main2dnr,1995,creek_chub,32,10849618
549,l-7,1995,green_sunfish,27,10850176
550,md-10,1995,largemouth_bass,2,10849718
551,dnr16,1995,pumpkinseed,2,10849756
552,dnrnfel,1995,bluegill,1,10849706
553,evan5,1995,central_mudminnow,1,10849456
554,fel4,1995,blacknose_dace,83,10849736
555,fowl2,1995,central_stoneroller,2,10849786
556,fowl4,1995,creek_chub,43,10849812
557,fowl5,1995,green_sunfish,26,10849784
558,frank1,1995,largemouth_bass,2,10848522
559,frank2,1995,white_sucker,31,10848482
560,john3,1995,common_shiner,14,10849522
561,john6,1995,bluntnose_minnow,2,10850134
562,john7,1995,pumpkinseed,1,10849568
563,low11,1995,blacknose_dace,3,10849778
564,low4,1995,bluegill,2,10849774
565,low6,1995,fathead_minnow,1,10849810
566,lr-11,1995,rock_bass,29,10850162
567,lr-4,1995,green_sunfish,1,10849790
568,main10,1995,yellow_perch,1,10849770
569,main18,1995,bluegill,12,10848472
570,main3,1995,largemouth_bass,1,10848472
571,main6,1995,pumpkinseed,7,10849438
572,mid1,1995,white_sucker,7,10850296
573,mid2,1995,bluntnose_minnow,2,10849642
