"","FIELDID","COMID","DateSampled","TotalFish","Richness","DarterCount","SunfishCount","SuckerCount","IntolerantCount","Percent_Tolerant","Percent_Omnivores","Percent_Piscivores","Percent_Lithophilic","Percent_Insectivores","finalwidth_ft","Richness_upper","Richness_lower","Darter_upper","Darter_lower","Sunfish_upper","Sunfish_lower","Sucker_upper","Sucker_lower","Intolerant_upper","Intolerant_lower","Tolerant_upper","Tolerant_lower","Omnivore_upper","Omnivore_lower","Insectivore_upper","Insectivore_lower","Piscivore_upper","Piscivore_lower","Lithophilic_upper","Lithophilic_lower","Richness_score","Darter_score","Sunfish_score","Sucker_score","Intolerant_score","Tolerant_score","Omnivore_score","Insectivores_score","Piscivores_score","Lithophilic_score","Total_score"
"60","mn-2dnr","10848602",1995,313,14,1,5,1,1,74.7603833865815,72.8434504792332,4.15335463258786,30.6709265175719,18.5303514376997,20.7333333333333,14,10,3,2,3,2,2,2,3.93933333333333,1.9904,39,75,31,72,62,15,3,1,47,1,0,-1,1,-1,-1,1,1,0,1,0,1
"61","mn-3dnr","10849438",1986,29,7,0,2,1,1,75.8620689655172,62.0689655172414,6.89655172413793,48.2758620689655,31.0344827586207,33.1,14,10,3,2,3,2,2,2,4,2,39,75,31,72,62,15,3,1,47,1,-1,-1,0,-1,-1,1,1,0,1,1,0
"62","mn-3dnr","10849438",1995,273,11,2,1,1,0,94.5054945054945,76.1904761904762,0,39.9267399267399,22.7106227106227,33.1,14,10,3,2,3,2,2,2,4,2,39,75,31,72,62,15,3,1,47,1,0,0,-1,-1,-1,1,1,0,-1,0,-2
"63","mn-4","10850152",1972,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA
"64","mn-7a","10850152",1986,19,2,0,0,0,0,100,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,-1,-1,-1,NA
"65","mn-7a","10850152",1995,8,5,0,1,0,0,75,75,0,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,0,-1,-1,NA
"66","mn-7dnr","10848448",1995,138,5,0,4,0,0,2.89855072463768,0.72463768115942,94.9275362318841,0,4.34782608695652,11,13.2,8.36,2.42,1.21,1.87,0.935,1.54,0.726,2.09,1.056,39,75,31,72,62,15,3,1,47,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-6
"67","mr-1","10850296",1986,165,13,1,3,1,3,62.4242424242424,58.1818181818182,1.21212121212121,23.030303030303,37.5757575757576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,0,0,0,NA
"68","mr-1","10850296",1995,253,14,1,4,1,1,66.798418972332,62.4505928853755,1.18577075098814,18.5770750988142,34.3873517786561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,0,0,0,NA
"69","mr-18","10849622",1972,124,11,0,5,1,0,51.6129032258064,51.6129032258064,1.61290322580645,24.1935483870968,36.2903225806452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,0,0,0,NA
"70","mr-4","10849648",1986,150,13,1,5,1,2,38,31.3333333333333,24.6666666666667,6.66666666666667,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,-1,1,0,1,0,NA
"71","mr-7","10850156",1986,13,4,0,0,0,0,100,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,-1,-1,-1,NA
"72","mr-8","10850156",1986,32,6,0,0,1,0,96.875,96.875,0,9.375,3.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,-1,-1,0,NA
