"","Branch","FIELDID","StreamName","Year","DateSampled","Common_Name","Quanity","Length","Final_FIELDID","COMID"
"205","Upper","upper6","Upper Rouge",1972,"June/August","northern redbelly dace",1,"0","upper6","10849378"
"206","Upper","upper6","Upper Rouge",1972,"June/August","pumpkinseed",2,"0","upper6","10849378"
"207","Upper","upper6","Upper Rouge",1972,"June/August","white sucker",5,"0","upper6","10849378"
"208","Upper","upper7","Upper Rouge",1972,"June/August","brook stickleback",1,"0","u-7","10849532"
"209","Upper","upper7","Upper Rouge",1972,"June/August","creek chub",14,"0","u-7","10849532"
"210","Upper","upper7","Upper Rouge",1972,"June/August","white sucker",6,"0","u-7","10849532"
"211","Middle","walledlakebr11","WalledLakeBr11",1972,"June/ July","central mudminnow",1,"0","wall2","10849416"
"212","Middle","walledlakebr11","WalledLakeBr11",1972,"June/ July","fathead minnow",111,"0","wall2","10849416"
"213","Middle","walledlakebr11","WalledLakeBr11",1972,"June/ July","pumpkinseed",2,"0","wall2","10849416"
"214","Middle","walledlakebr8","WalledLakeBr8",1972,"June/ July","black crappie",3,"0","md-2","10849464"
"215","Middle","walledlakebr8","WalledLakeBr8",1972,"June/ July","bluegill",1,"0","md-2","10849464"
"216","Middle","walledlakebr8","WalledLakeBr8",1972,"June/ July","creek chub",1,"0","md-2","10849464"
"217","Middle","walledlakebr8","WalledLakeBr8",1972,"June/ July","pumpkinseed",1,"0","md-2","10849464"
"218","Lower","l-1","Lower Rouge",1986,"7/23/86","creek chub",71,"450ft","low4","10849774"
"219","Lower","l-1","Lower Rouge",1986,"7/23/86","white sucker",15,"450ft","low4","10849774"
"220","Lower","l-1","Lower Rouge",1986,"7/23/86","goldfish",1,"450ft","low4","10849774"
"221","Lower","l-1","Lower Rouge",1986,"7/23/86","common carp",26,"450ft","low4","10849774"
"222","Lower","l-1","Lower Rouge",1986,"7/23/86","green sunfish",10,"450ft","low4","10849774"
"223","Lower","l-1","Lower Rouge",1986,"7/23/86","central mudminnow",30,"450ft","low4","10849774"
"224","Lower","l-1","Lower Rouge",1986,"7/23/86","common shiner",56,"450ft","low4","10849774"
"225","Lower","l-1","Lower Rouge",1986,"7/23/86","central stoneroller",5,"450ft","low4","10849774"
"226","Lower","l-1","Lower Rouge",1986,"7/23/86","bluegill",1,"450ft","low4","10849774"
"227","Lower","l-1","Lower Rouge",1986,"7/23/86","brook stickleback",9,"450ft","low4","10849774"
"228","Lower","l-1","Lower Rouge",1986,"7/23/86","fathead minnow",61,"450ft","low4","10849774"
