"","UpperRouge_Shocking","FellowsCreek_NA","MainRouge_NA","QuartonBranch_Shocking","BellBranch_Shocking","BellBranch_NA","BishopCreek_Shocking","BishopCreek_NA","EvansCreek_Shocking","EvansCreek_NA","FellowsCreek_Shocking","FowlerCreek_Shocking","FowlerCreek_NA","FranklinCreek_Shocking","FranklinCreek_NA","JohnsonCreek_Shocking","JohnsonCreek_NA","LowerRouge_Shocking","LowerRouge_NA","MainRouge_Shocking","MiddleRouge_Shocking","MinnowPond_Shocking","MinnowPond_NA","PebbleCreek_Shocking","PebbleCreek_NA","SeeleyCreek_Shocking","SeeleyCreek_NA","TarabusiCreek_Shocking","TarabusiCreek_NA","TonquishCreek_Shocking","TonquishCreek_NA","UpperRouge_NA","WalledLkDrainage_Shocking","WalledLkDrainage_NA","MiddleRouge_NA","QuartonBranch_NA","WillowCreek_Shocking","WillowCreek_NA"
"MinnowPond_Shocking",66.6666666666667,72,58.0645161290322,42.1052631578947,77.7777777777778,80,58.8235294117647,55.5555555555556,50,47.0588235294118,66.6666666666667,50,50,70.5882352941176,66.6666666666667,55.1724137931034,66.6666666666667,48.6486486486487,51.4285714285714,56.25,51.6129032258064,100,86.9565217391304,53.3333333333333,58.8235294117647,76.1904761904762,75,88.8888888888889,80,80,75,72,62.5,44.4444444444444,44.4444444444444,63.1578947368421,55.5555555555556,62.5
"MinnowPond_NA",73.3333333333333,71.4285714285714,58.8235294117647,36.3636363636364,76.1904761904762,78.2608695652174,60,47.6190476190476,52.6315789473684,50,66.6666666666667,51.6129032258064,51.6129032258064,70,55.5555555555556,62.5,73.3333333333333,50,52.6315789473684,57.1428571428571,52.9411764705882,86.9565217391304,100,44.4444444444444,60,75,74.0740740740741,76.1904761904762,78.2608695652174,78.2608695652174,74.0740740740741,78.5714285714286,52.6315789473684,47.6190476190476,53.3333333333333,63.6363636363636,57.1428571428571,63.1578947368421
"PebbleCreek_Shocking",45.4545454545455,50,38.4615384615385,14.2857142857143,61.5384615384615,66.6666666666667,50,46.1538461538462,54.5454545454545,83.3333333333333,52.6315789473684,43.4782608695652,43.4782608695652,66.6666666666667,80,33.3333333333333,36.3636363636364,31.25,33.3333333333333,37.037037037037,38.4615384615385,53.3333333333333,44.4444444444444,100,66.6666666666667,62.5,42.1052631578947,61.5384615384615,53.3333333333333,53.3333333333333,52.6315789473684,50,72.7272727272727,61.5384615384615,27.2727272727273,42.8571428571429,61.5384615384615,54.5454545454545
"PebbleCreek_NA",50,54.5454545454545,42.8571428571429,12.5,66.6666666666667,58.8235294117647,57.1428571428571,26.6666666666667,61.5384615384615,71.4285714285714,57.1428571428571,40,40,85.7142857142857,66.6666666666667,46.1538461538462,50,35.2941176470588,37.5,41.3793103448276,35.7142857142857,58.8235294117647,60,66.6666666666667,100,66.6666666666667,66.6666666666667,53.3333333333333,58.8235294117647,58.8235294117647,57.1428571428571,54.5454545454545,46.1538461538462,53.3333333333333,33.3333333333333,50,66.6666666666667,76.9230769230769
"SeeleyCreek_Shocking",71.4285714285714,76.9230769230769,56.25,20,63.1578947368421,76.1904761904762,66.6666666666667,63.1578947368421,47.0588235294118,66.6666666666667,72,62.0689655172414,62.0689655172414,77.7777777777778,62.5,66.6666666666667,71.4285714285714,52.6315789473684,55.5555555555556,54.5454545454545,50,76.1904761904762,75,62.5,66.6666666666667,100,80,63.1578947368421,66.6666666666667,76.1904761904762,80,76.9230769230769,70.5882352941176,73.6842105263158,42.8571428571429,50,73.6842105263158,70.5882352941176
"SeeleyCreek_NA",70.9677419354839,82.7586206896552,57.1428571428571,34.7826086956522,63.6363636363636,66.6666666666667,66.6666666666667,63.6363636363636,50,57.1428571428571,64.2857142857143,62.5,62.5,66.6666666666667,52.6315789473684,72.7272727272727,70.9677419354839,53.6585365853659,56.4102564102564,55.5555555555556,57.1428571428571,75,74.0740740740741,42.1052631578947,66.6666666666667,80,100,63.6363636363636,75,75,78.5714285714286,68.9655172413793,50,54.5454545454545,45.1612903225806,60.8695652173913,63.6363636363636,60
"TarabusiCreek_Shocking",56,60.8695652173913,55.1724137931034,47.0588235294118,87.5,88.8888888888889,66.6666666666667,62.5,57.1428571428571,53.3333333333333,63.6363636363636,53.8461538461538,53.8461538461538,53.3333333333333,61.5384615384615,44.4444444444444,56,45.7142857142857,48.4848484848485,53.3333333333333,55.1724137931034,88.8888888888889,76.1904761904762,61.5384615384615,53.3333333333333,63.1578947368421,63.6363636363636,100,88.8888888888889,77.7777777777778,63.6363636363636,60.8695652173913,71.4285714285714,50,48,70.5882352941176,50,57.1428571428571
"TarabusiCreek_NA",59.2592592592593,72,64.5161290322581,52.6315789473684,88.8888888888889,90,82.3529411764706,55.5555555555556,62.5,70.5882352941176,66.6666666666667,64.2857142857143,64.2857142857143,58.8235294117647,53.3333333333333,55.1724137931034,59.2592592592593,54.0540540540541,57.1428571428571,62.5,64.5161290322581,80,78.2608695652174,53.3333333333333,58.8235294117647,66.6666666666667,75,88.8888888888889,100,80,75,64,62.5,55.5555555555556,51.8518518518519,84.2105263157895,66.6666666666667,62.5
"TonquishCreek_Shocking",66.6666666666667,72,51.6129032258064,31.578947368421,77.7777777777778,80,70.5882352941176,55.5555555555556,62.5,58.8235294117647,66.6666666666667,57.1428571428571,57.1428571428571,70.5882352941176,66.6666666666667,48.2758620689655,59.2592592592593,48.6486486486487,45.7142857142857,50,58.0645161290322,80,78.2608695652174,53.3333333333333,58.8235294117647,76.1904761904762,75,77.7777777777778,80,100,75,64,62.5,55.5555555555556,51.8518518518519,63.1578947368421,55.5555555555556,62.5
"TonquishCreek_NA",70.9677419354839,89.6551724137931,62.8571428571429,34.7826086956522,63.6363636363636,75,66.6666666666667,54.5454545454545,50,66.6666666666667,78.5714285714286,68.75,68.75,66.6666666666667,52.6315789473684,60.6060606060606,64.5161290322581,58.5365853658537,56.4102564102564,66.6666666666667,62.8571428571429,75,74.0740740740741,52.6315789473684,57.1428571428571,80,78.5714285714286,63.6363636363636,75,75,100,68.9655172413793,60,54.5454545454545,45.1612903225806,60.8695652173913,72.7272727272727,60
"UpperRouge_NA",81.25,73.3333333333333,61.1111111111111,25,60.8695652173913,72,54.5454545454545,52.1739130434783,38.0952380952381,54.5454545454545,68.9655172413793,48.4848484848485,54.5454545454545,63.6363636363636,50,70.5882352941176,68.75,57.1428571428571,60,59.4594594594595,55.5555555555556,72,78.5714285714286,50,54.5454545454545,76.9230769230769,68.9655172413793,60.8695652173913,64,64,68.9655172413793,100,57.1428571428571,52.1739130434783,56.25,50,60.8695652173913,57.1428571428571
"WalledLkDrainage_Shocking",52.1739130434783,57.1428571428571,44.4444444444444,26.6666666666667,57.1428571428571,75,76.9230769230769,71.4285714285714,50,61.5384615384615,60,50,50,46.1538461538462,54.5454545454545,48,52.1739130434783,36.3636363636364,38.7096774193548,42.8571428571429,44.4444444444444,62.5,52.6315789473684,72.7272727272727,46.1538461538462,70.5882352941176,50,71.4285714285714,62.5,62.5,60,57.1428571428571,100,71.4285714285714,34.7826086956522,40,57.1428571428571,50
"WalledLkDrainage_NA",48,52.1739130434783,41.3793103448276,11.7647058823529,62.5,66.6666666666667,66.6666666666667,62.5,57.1428571428571,66.6666666666667,54.5454545454545,53.8461538461538,61.5384615384615,53.3333333333333,46.1538461538462,59.2592592592593,56,40,42.4242424242424,46.6666666666667,41.3793103448276,44.4444444444444,47.6190476190476,61.5384615384615,53.3333333333333,73.6842105263158,54.5454545454545,50,55.5555555555556,55.5555555555556,54.5454545454545,52.1739130434783,71.4285714285714,100,32,35.2941176470588,62.5,57.1428571428571
"MiddleRouge_NA",47.0588235294118,50,52.6315789473684,46.1538461538462,48,51.8518518518519,41.6666666666667,32,26.0869565217391,33.3333333333333,45.1612903225806,57.1428571428571,51.4285714285714,33.3333333333333,27.2727272727273,50,47.0588235294118,59.0909090909091,47.6190476190476,56.4102564102564,84.2105263157895,44.4444444444444,53.3333333333333,27.2727272727273,33.3333333333333,42.8571428571429,45.1612903225806,48,51.8518518518519,51.8518518518519,45.1612903225806,56.25,34.7826086956522,32,100,53.8461538461538,40,43.4782608695652
"QuartonBranch_NA",46.1538461538462,58.3333333333333,60,66.6666666666667,70.5882352941176,73.6842105263158,62.5,35.2941176470588,53.3333333333333,62.5,52.1739130434783,51.8518518518519,51.8518518518519,50,42.8571428571429,50,46.1538461538462,50,52.9411764705882,58.0645161290322,60,63.1578947368421,63.6363636363636,42.8571428571429,50,50,60.8695652173913,70.5882352941176,84.2105263157895,63.1578947368421,60.8695652173913,50,40,35.2941176470588,53.8461538461538,100,58.8235294117647,53.3333333333333
"WillowCreek_Shocking",56,69.5652173913043,55.1724137931034,23.5294117647059,62.5,66.6666666666667,66.6666666666667,37.5,42.8571428571429,80,63.6363636363636,53.8461538461538,53.8461538461538,66.6666666666667,46.1538461538462,51.8518518518519,48,45.7142857142857,48.4848484848485,53.3333333333333,48.2758620689655,55.5555555555556,57.1428571428571,61.5384615384615,66.6666666666667,73.6842105263158,63.6363636363636,50,66.6666666666667,55.5555555555556,72.7272727272727,60.8695652173913,57.1428571428571,62.5,40,58.8235294117647,100,85.7142857142857
"WillowCreek_NA",52.1739130434783,57.1428571428571,44.4444444444444,13.3333333333333,71.4285714285714,62.5,61.5384615384615,28.5714285714286,50,61.5384615384615,60,41.6666666666667,41.6666666666667,76.9230769230769,54.5454545454545,40,43.4782608695652,36.3636363636364,38.7096774193548,42.8571428571429,37.037037037037,62.5,63.1578947368421,54.5454545454545,76.9230769230769,70.5882352941176,60,57.1428571428571,62.5,62.5,60,57.1428571428571,50,57.1428571428571,43.4782608695652,53.3333333333333,85.7142857142857,100
